model,entity_name,global_name,target_image,source_image1,source_image2,source_image3
textualinversion_ldm,gorilla,monkey,https://conceptbed.s3.us-east-2.amazonaws.com/object/textualinversion_ldm_n02480855_6866.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/object/original_n02480855_98853.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/object/original_n02480855_82378.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/object/original_n02480855_70896.jpg
textualinversion_ldm,marmoset,monkey,https://conceptbed.s3.us-east-2.amazonaws.com/object/textualinversion_ldm_n02490219_46522.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/object/original_n02490219_2822.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/object/original_n02490219_63035.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/object/original_n02490219_79538.jpg
textualinversion_ldm,robin,bird,https://conceptbed.s3.us-east-2.amazonaws.com/object/textualinversion_ldm_n01558993_88443.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/object/original_n01558993_17435.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/object/original_n01558993_94589.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/object/original_n01558993_15682.jpg
textualinversion_ldm,junco,bird,https://conceptbed.s3.us-east-2.amazonaws.com/object/textualinversion_ldm_n01534433_64000.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/object/original_n01534433_93650.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/object/original_n01534433_36092.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/object/original_n01534433_82375.jpg
textualinversion_ldm,desktop_computer,computer,https://conceptbed.s3.us-east-2.amazonaws.com/object/textualinversion_ldm_n03180011_24594.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/object/original_n03180011_7792.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/object/original_n03180011_52540.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/object/original_n03180011_41059.jpg
textualinversion_ldm,tow_truck,truck,https://conceptbed.s3.us-east-2.amazonaws.com/object/textualinversion_ldm_n04461696_97819.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/object/original_n04461696_27183.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/object/original_n04461696_14223.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/object/original_n04461696_46741.jpg
textualinversion_ldm,organ,keyboard,https://conceptbed.s3.us-east-2.amazonaws.com/object/textualinversion_ldm_n03854065_509.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/object/original_n03854065_13165.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/object/original_n03854065_84262.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/object/original_n03854065_41624.jpg
textualinversion_ldm,magpie,bird,https://conceptbed.s3.us-east-2.amazonaws.com/object/textualinversion_ldm_n01582220_84178.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/object/original_n01582220_60935.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/object/original_n01582220_11108.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/object/original_n01582220_91452.jpg
textualinversion_ldm,airliner,aircraft,https://conceptbed.s3.us-east-2.amazonaws.com/object/textualinversion_ldm_n02690373_22914.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/object/original_n02690373_27806.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/object/original_n02690373_76757.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/object/original_n02690373_49859.jpg
textualinversion_ldm,English_foxhound,dog,https://conceptbed.s3.us-east-2.amazonaws.com/object/textualinversion_ldm_n02089973_21735.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/object/original_n02089973_8814.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/object/original_n02089973_44051.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/object/original_n02089973_87232.jpg
textualinversion_ldm,convertible,car,https://conceptbed.s3.us-east-2.amazonaws.com/object/textualinversion_ldm_n03100240_40396.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/object/original_n03100240_22540.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/object/original_n03100240_11427.jpg,https://conceptbed.s3.us-east-2.amazonaws.com/object/original_n03100240_90747.jpg
